gpa,study_hours,attendance_rate,previous_math_grade,previous_cs_grade,credit_load,course_difficulty,passed
1.5,14,71,32,22,13,3,0
3.8,11,49,72,83,12,2,1
2.93,15,66,60,14,15,4,1
2.39,23,43,8,92,13,5,0
0.62,18,57,67,7,15,2,0
0.62,7,2,34,40,9,1,0
0.23,20,85,80,18,9,4,0
3.46,16,69,97,45,18,3,1
2.4,22,1,87,27,11,2,0
2.83,4,86,95,90,10,3,1
0.08,21,43,64,67,10,4,0
3.88,15,1,7,14,15,3,0
3.33,5,80,44,98,18,2,1
0.85,7,34,86,36,10,4,0
0.73,24,97,46,0,12,1,0
0.73,17,86,39,66,10,2,0
1.22,24,29,75,23,14,5,0
2.1,11,7,53,26,16,2,0
1.73,14,21,75,39,18,4,0
1.16,25,43,45,62,12,2,0
2.45,8,57,46,60,13,1,0
0.56,12,35,14,35,12,1,0
1.17,25,68,18,97,11,5,0
1.47,14,76,25,92,13,3,0
1.82,9,92,51,23,17,4,0
3.14,15,30,92,23,16,4,0
0.8,6,46,21,3,16,3,0
2.06,16,54,20,66,16,1,0
2.37,22,79,50,33,16,1,1
0.19,25,61,37,56,15,2,0
2.43,20,29,19,48,16,5,0
0.68,21,54,28,86,16,5,0
0.26,25,15,50,52,16,5,0
3.8,6,11,3,22,18,2,0
3.86,13,16,54,68,15,5,1
3.23,14,15,70,94,9,3,1
1.22,20,11,91,52,12,2,0
0.39,6,7,27,61,12,3,0
2.74,8,83,3,40,13,2,0
1.76,18,2,21,56,18,5,0
0.49,15,15,75,59,14,3,0
1.98,7,29,44,53,12,3,0
0.14,17,22,66,69,10,3,0
3.64,22,91,85,100,14,2,1
1.04,17,4,65,56,16,4,0
2.65,19,83,87,9,16,5,0
1.25,6,64,33,39,15,3,0
2.08,2,29,90,6,14,4,0
2.19,17,20,54,37,10,5,0
0.74,9,83,0,84,15,5,0
3.88,6,69,71,60,13,3,1
3.1,16,21,86,83,14,3,1
3.76,13,81,37,2,18,2,1
